business,avg_stars,Sentiment_Score_neg,Sentiment_Score_pos,Sentiment_Score_remark
Chris's Sandwich Shop,4.857142857142857,0.032,0.237,Positive Sentiment
USPS,4.2,0.067,0.178,Positive Sentiment
Family Vision Center,4.882352941176471,0.022,0.253,Positive Sentiment
Yelo'd Ice Cream,4.157894736842105,0.04,0.218,Positive Sentiment
David's Southern Fried Pies,4.5,0.037,0.252,Positive Sentiment
Red Garter Saloon,3.84,0.067,0.206,Positive Sentiment
Fantastic Sams Cut & Color,3.5,0.105,0.198,Positive Sentiment
Hyatt Place Reno-Tahoe Airport,4.36144578313253,0.038,0.267,Positive Sentiment
Greek Sotir Grill,3.3846153846153846,0.068,0.274,Positive Sentiment
My Dad's Sweet Corn,5.0,0.022,0.238,Positive Sentiment
Nite Owls Saloon & Grill,3.6666666666666665,0.078,0.182,Positive Sentiment
Chase Restaurant,3.4397163120567376,0.053,0.233,Positive Sentiment
Tulane Lakeside Hospital,4.5,0.046,0.136,Positive Sentiment
Dunkin',2.7142857142857144,0.081,0.137,Positive Sentiment
Buckle,3.6666666666666665,0.061,0.145,Positive Sentiment
Pineapple Asian Restaurant,3.8461538461538463,0.053,0.249,Positive Sentiment
Smoothie King,3.0,0.09,0.205,Positive Sentiment
Pathmark,2.15,0.122,0.116,Negative Sentiment
Tim Moye Transmission,5.0,0.03,0.218,Positive Sentiment
Studio Flava,3.75,0.052,0.217,Positive Sentiment
TLC Pediatric Dentistry & Orthodontics,2.5,0.037,0.078,Positive Sentiment
Rick Bronson's The Comic Strip,3.6774193548387095,0.08,0.215,Positive Sentiment
Unique Thriftique,2.0,0.063,0.157,Positive Sentiment
BlackFinn American Grille,3.073170731707317,0.052,0.19,Positive Sentiment
Goody's Cafe,3.7777777777777777,0.04,0.22,Positive Sentiment
Great Clips,3.0,0.086,0.205,Positive Sentiment
B2 Bluefin,4.545454545454546,0.026,0.285,Positive Sentiment
Double Decker,3.5142857142857142,0.068,0.212,Positive Sentiment
McDonald's,1.0,0.189,0.03,Negative Sentiment
Abner's Pizza & Grill,2.0,0.106,0.093,Negative Sentiment
Ralph's Barber Shop,5.0,0.011,0.189,Positive Sentiment
McDonald's,2.375,0.114,0.12,Positive Sentiment
Marathon,3.457943925233645,0.043,0.232,Positive Sentiment
IN Self Storage - Tucson,3.5,0.085,0.108,Positive Sentiment
Tokyo Express,1.8,0.058,0.092,Positive Sentiment
Optilife Chiropractic,5.0,0.117,0.202,Positive Sentiment
Crème de la Crème,5.0,0.025,0.228,Positive Sentiment
Joe's Grille,4.090909090909091,0.043,0.199,Positive Sentiment
Volkswagen Of North Nashville,2.75,0.05,0.125,Positive Sentiment
Deans Electrical Service,5.0,0.0,0.198,Positive Sentiment
Gutter Gurus,1.0,0.179,0.0,Negative Sentiment
Meister's Barber Shop,4.380952380952381,0.081,0.251,Positive Sentiment
Smilie's Restaurant,2.0,0.065,0.134,Positive Sentiment
Spring Chinese Restaurant,2.96,0.086,0.121,Positive Sentiment
JOANN Fabrics and Crafts,1.6666666666666667,0.052,0.206,Positive Sentiment
Cash Canada,1.0,0.086,0.067,Negative Sentiment
Roadrunner Hostel,4.083333333333333,0.063,0.188,Positive Sentiment
Northeast Auto Service,4.761904761904762,0.055,0.192,Positive Sentiment
Mr Baja Fish,4.4,0.018,0.262,Positive Sentiment
Church's Chicken,3.5,0.076,0.181,Positive Sentiment
Treasures,1.0,0.068,0.077,Positive Sentiment
Motovelo  Boise Electric Bikes,5.0,0.038,0.283,Positive Sentiment
Pizza Mizza,3.5964912280701755,0.06,0.226,Positive Sentiment
Bagelicious and More,3.4,0.05,0.252,Positive Sentiment
Uncle Andy's Ice Cream Parlor,4.136363636363637,0.033,0.22,Positive Sentiment
Staybridge Suites New Orleans French QtrDwtn,3.08,0.074,0.176,Positive Sentiment
Pizza Hut,3.333333333333333,0.067,0.086,Positive Sentiment
Sansum Clinic Obstetrics & Gynecology,3.0,0.142,0.129,Negative Sentiment
Cecil Creek Farm,4.0,0.024,0.254,Positive Sentiment
Maple Street Patisserie,3.730769230769231,0.065,0.196,Positive Sentiment
MedExpress Urgent Care,2.833333333333333,0.067,0.148,Positive Sentiment
The Office,3.0,0.02,0.209,Positive Sentiment
Luberto's Brickoven Pizza,4.1063829787234045,0.039,0.248,Positive Sentiment
Spiro's Restaurant,4.136363636363637,0.033,0.257,Positive Sentiment
Fazoli's,3.25,0.06,0.194,Positive Sentiment
Sidelines Grill,3.3846153846153846,0.061,0.212,Positive Sentiment
Campbell House Museum,4.785714285714286,0.034,0.231,Positive Sentiment
Sweetheart Cupcakes,3.0,0.046,0.176,Positive Sentiment
west elm,3.4444444444444446,0.053,0.19,Positive Sentiment
Captain Al's,3.5,0.089,0.173,Positive Sentiment
Tire Mania Auto Repair,3.8333333333333335,0.064,0.105,Positive Sentiment
Mazfresco Market,4.363636363636363,0.033,0.269,Positive Sentiment
Chandler Salon,4.666666666666667,0.071,0.271,Positive Sentiment
Nino's Tailoring & Dry Cleaning,4.0,0.019,0.22,Positive Sentiment
Zorba's Taverna,4.276595744680851,0.044,0.245,Positive Sentiment
Perfection Sparkle Clean,1.0,0.05,0.167,Positive Sentiment
Nex Level Fitness,5.0,0.012,0.19,Positive Sentiment
Mancini Automotive,5.0,0.093,0.232,Positive Sentiment
Juel Salon,4.777777777777778,0.106,0.185,Positive Sentiment
Subway,1.5,0.15,0.092,Negative Sentiment
Park & Bark Mobile Grooming,4.125,0.078,0.152,Positive Sentiment
Federal Donuts,4.057971014492754,0.047,0.229,Positive Sentiment
Supercuts,2.0,0.03,0.139,Positive Sentiment
Kenny Bob's Bar-B-Que,4.75,0.062,0.141,Positive Sentiment
Studio Nails,3.6666666666666665,0.057,0.17,Positive Sentiment
Spike's Trophies,4.5,0.044,0.203,Positive Sentiment
My First Image,4.142857142857143,0.038,0.241,Positive Sentiment
Cosi,3.25,0.05,0.166,Positive Sentiment
Enjoi Sweets & Company,4.375,0.067,0.198,Positive Sentiment
Mailsource,4.75,0.078,0.244,Positive Sentiment
Head & Heart Photography by Kiel Rucker,5.0,0.018,0.317,Positive Sentiment
New You Spa,5.0,0.044,0.298,Positive Sentiment
Yeoman's Cask and Lion,3.523809523809524,0.041,0.236,Positive Sentiment
Gyro Shack,3.9565217391304346,0.055,0.292,Positive Sentiment
Mi Tenampa,4.1923076923076925,0.055,0.232,Positive Sentiment
Hull's HVAC,1.0,0.108,0.0,Negative Sentiment
Francesca's,4.125,0.034,0.246,Positive Sentiment
La Creperie Cafe,3.4257425742574257,0.066,0.202,Positive Sentiment
CVS Pharmacy,4.0,0.0,0.327,Positive Sentiment
Heritage Hardwood Floors,5.0,0.035,0.153,Positive Sentiment
JetBlue,3.5,0.064,0.113,Positive Sentiment
Bed Bath & Beyond,3.6666666666666665,0.049,0.123,Positive Sentiment
Ali Baba,3.92,0.079,0.195,Positive Sentiment
Noodles & Company,3.4473684210526314,0.057,0.21,Positive Sentiment
"American Freight Furniture, Mattress, Appliance",3.333333333333333,0.058,0.072,Positive Sentiment
Honea Auto Body,4.75,0.02,0.171,Positive Sentiment
Gilley's Antique Mall,4.5,0.033,0.165,Positive Sentiment
Crown Hyundai,3.866666666666666,0.073,0.166,Positive Sentiment
Audi West Chester,3.6666666666666665,0.03,0.118,Positive Sentiment
David Thomas Trailways,5.0,0.0,0.468,Positive Sentiment
Thailand Restaurant,4.065217391304348,0.049,0.231,Positive Sentiment
The Daily Bread Bakery & Cafe,4.122448979591836,0.031,0.247,Positive Sentiment
Dry Wizard of Florida,4.0,0.009,0.121,Positive Sentiment
Frontier Gun Shop,4.5,0.071,0.174,Positive Sentiment
Corner House Collections,3.0,0.0,0.233,Positive Sentiment
The Spine Shop Chiropractic,5.0,0.056,0.214,Positive Sentiment
Fox’s Pizza Den,2.933333333333333,0.064,0.222,Positive Sentiment
AMC Showplace Washington Square 12,3.25,0.077,0.179,Positive Sentiment
Cracker Barrel Old Country Store,3.5301204819277108,0.05,0.217,Positive Sentiment
Fantastic Sams Cut & Color,4.0,0.032,0.203,Positive Sentiment
Hickory Kitchen,4.068181818181818,0.041,0.254,Positive Sentiment
Cappelli Tailors,5.0,0.0,0.406,Positive Sentiment
